cluster_file,row_id,voxel_size,segment_length,n_points,n_segments_valid,lai_proxy_mean,lai_proxy_p50,lai_proxy_p90,gap_fraction_mean,porosity_mean,elapsed_sec
config1_leaf00cm_tol40cm_cluster_01_ndvi.las,1,0.03,1.0,107781,112,0.6253678132807472,0.613312214403345,0.813519747639567,0.7333351682443006,0.9769185743159571,0.23731270999996923
config1_leaf00cm_tol40cm_cluster_01_ndvi.las,1,0.05,1.0,107781,112,0.8500884803559438,0.8265029852507251,1.1236195977931476,0.656610229666495,0.9285523938436313,0.20242843000232824
config1_leaf00cm_tol40cm_cluster_01_ndvi.las,1,0.08,1.0,107781,112,1.0960132026117282,1.0532551389824634,1.4309644821995346,0.5821526854766843,0.859943466965003,0.17440511000313563
config1_leaf00cm_tol40cm_cluster_01_ndvi.las,1,0.1,1.0,107781,112,1.246008035337405,1.2123612303376752,1.6865544366787995,0.5410779269019077,0.8116041502515723,0.1703489770006854
config1_leaf00cm_tol40cm_cluster_01_ndvi.las,1,0.13,1.0,107781,112,1.4829073257002867,1.4144652380865868,1.9565949444265947,0.48430201388747307,0.7471190515980854,0.16800874700129498
config1_leaf00cm_tol40cm_cluster_01_ndvi.las,1,0.16,1.0,107781,112,1.737175481213697,1.6218604324326575,2.4327906486489863,0.4295068287957319,0.6910158320633448,0.16365892400062876
config1_leaf00cm_tol40cm_cluster_01_ndvi.las,1,0.2,1.0,107781,112,2.0235562589021074,1.8686184747536665,2.7653151934056064,0.3800480087868481,0.6003319279100529,0.15799116500056698
config1_leaf00cm_tol40cm_cluster_01_ndvi.las,1,0.25,1.0,107781,112,2.714056309819395,2.505525936990736,3.5568126599312073,0.30480583900226754,0.49679625496031743,0.15815054400081863
config1_leaf00cm_tol40cm_cluster_01_ndvi.las,1,0.3,1.0,107781,112,3.36857768083341,2.6435116799646385,4.605170185988092,0.27702132936507934,0.46556609623015877,0.15489502100172103
config1_leaf00cm_tol40cm_cluster_03_ndvi.las,3,0.03,1.0,97426,112,0.6254478237302813,0.6077977803602748,0.7911827994453386,0.7331750074326419,0.9770636307504604,0.21006834099898697
config1_leaf00cm_tol40cm_cluster_03_ndvi.las,3,0.05,1.0,97426,112,0.8626998039697362,0.8429390940562482,1.0993164044969497,0.6525778149246367,0.9284443832557476,0.1809614780031552
config1_leaf00cm_tol40cm_cluster_03_ndvi.las,3,0.08,1.0,97426,112,1.1217194398259258,1.0779930014653742,1.4318664154916125,0.5742109920825834,0.8566663748462906,0.16004482499920414
config1_leaf00cm_tol40cm_cluster_03_ndvi.las,3,0.1,1.0,97426,112,1.3030595345677916,1.238078416812447,1.6427139948557004,0.5268346725032836,0.8063399162955641,0.15344235700104036
config1_leaf00cm_tol40cm_cluster_03_ndvi.las,3,0.13,1.0,97426,112,1.541224418108893,1.5242801040937934,1.9616585060234524,0.4683280224240046,0.7392391054402773,0.14765704900128185
config1_leaf00cm_tol40cm_cluster_03_ndvi.las,3,0.16,1.0,97426,112,1.7958116444068501,1.7509374747078001,2.3206674442180226,0.41656965595581663,0.6791754515207958,0.14580551000108244
config1_leaf00cm_tol40cm_cluster_03_ndvi.las,3,0.2,1.0,97426,112,2.1794867743318718,1.9616585060234524,3.13723183582769,0.3521474041005291,0.58434943074452,0.13998591199924704
config1_leaf00cm_tol40cm_cluster_03_ndvi.las,3,0.25,1.0,97426,112,3.163386358765701,2.5618676909241285,4.1459753791321585,0.2764703798185941,0.4730180874433107,0.13947808400189388
config1_leaf00cm_tol40cm_cluster_03_ndvi.las,3,0.3,1.0,97426,112,3.9810226009472336,2.7080502011022096,4.605170185988092,0.25257936507936507,0.43343253968253975,0.14119636000032187
config1_leaf00cm_tol40cm_cluster_04_ndvi.las,4,0.03,1.0,94714,25,0.3551675940730952,0.341288762863129,0.5066596637115606,0.8387544689010626,0.9911235532659382,0.17081126099947141
config1_leaf00cm_tol40cm_cluster_04_ndvi.las,4,0.05,1.0,94714,25,0.5510938383937516,0.48898708481578274,0.7920603309858586,0.7623431164259376,0.9715563856785046,0.15065869099998963
config1_leaf00cm_tol40cm_cluster_04_ndvi.las,4,0.08,1.0,94714,25,0.7358784070104015,0.6609943468922944,1.026465026229702,0.6966453023456145,0.9362259758316621,0.1361138829997799
config1_leaf00cm_tol40cm_cluster_04_ndvi.las,4,0.1,1.0,94714,25,0.8344976738957641,0.7647996703543364,1.1628013423243813,0.6641825760430484,0.9097748688258176,0.13348841499828268
config1_leaf00cm_tol40cm_cluster_04_ndvi.las,4,0.13,1.0,94714,25,0.9709233740414601,0.9318606077161995,1.3765407003379595,0.6216455920644209,0.8721689827699544,0.12891635200139717
config1_leaf00cm_tol40cm_cluster_04_ndvi.las,4,0.16,1.0,94714,25,1.081195462764834,1.0081224473548969,1.5383582355875673,0.5899919879760609,0.8406566145321167,0.1254471799984458
config1_leaf00cm_tol40cm_cluster_04_ndvi.las,4,0.2,1.0,94714,25,1.2286566772844882,1.2052663460382271,1.639684686562073,0.5488218546732478,0.782844510648164,0.12384030300017912
config1_leaf00cm_tol40cm_cluster_04_ndvi.las,4,0.25,1.0,94714,25,1.3921233753767501,1.2416530379606385,1.958515895219174,0.5099763804550569,0.7285540382955824,0.12041520200000377
config1_leaf00cm_tol40cm_cluster_04_ndvi.las,4,0.3,1.0,94714,25,1.5643663834486206,1.5402164433921475,2.148724879883072,0.46823265623265625,0.6892721653346655,0.12059965700245812
config1_leaf00cm_tol40cm_cluster_06_ndvi.las,6,0.03,1.0,91918,111,0.5089030980598498,0.48669251726345836,0.6666053237198676,0.776874643166844,0.9824278974564791,0.19098386999758077
config1_leaf00cm_tol40cm_cluster_06_ndvi.las,6,0.05,1.0,91918,111,0.7362435811983402,0.7041544693802058,0.9672597619150011,0.6947926822614403,0.9451142625486519,0.16753889999745297
config1_leaf00cm_tol40cm_cluster_06_ndvi.las,6,0.08,1.0,91918,111,1.012843655444209,0.9979823322379755,1.3416828460912942,0.6069066046721276,0.8825463500224023,0.15168593599810265
config1_leaf00cm_tol40cm_cluster_06_ndvi.las,6,0.1,1.0,91918,111,1.1633975961544187,1.1192315758708455,1.5039753611657576,0.5643017226350558,0.8369714716589715,0.14758370799972909
config1_leaf00cm_tol40cm_cluster_06_ndvi.las,6,0.13,1.0,91918,111,1.383106677880683,1.3502573501145343,1.7436779386066423,0.5065997798194768,0.7753654355074807,0.14190344599774107
config1_leaf00cm_tol40cm_cluster_06_ndvi.las,6,0.16,1.0,91918,111,1.6289153237465712,1.5530575789979928,2.197224577336219,0.4533716454549788,0.7188598263796674,0.13938581499678548
config1_leaf00cm_tol40cm_cluster_06_ndvi.las,6,0.2,1.0,91918,111,1.8591359494211301,1.6945957207744071,2.505525936990736,0.41380589773446913,0.6323659629016773,0.1358864009998797
config1_leaf00cm_tol40cm_cluster_06_ndvi.las,6,0.25,1.0,91918,111,2.0742778798612704,1.888923217681703,3.0081547935525483,0.3736486486486486,0.5581563706563706,0.13353031600126997
config1_leaf00cm_tol40cm_cluster_06_ndvi.las,6,0.3,1.0,91918,111,3.3610975436048216,2.197224577336219,3.218875824868201,0.32923923923923926,0.5068105605605606,0.13457984600245254
